规格名称,SKY 链接,类型,公母,图片ID
立式母座180度USB-A直针（20个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3209997629895,USB-A,母座,3209997629865
USB-A型母座90度弯脚(15个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3209997629896,USB-A,母座,3209997629896
USBA型插座母座180度贴片（20个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3209997629900,USB-A,母座,3209997629900
USBA型母座180度弯脚（20个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3209997629899,USB-A,母座,3209997629899
USBA型母座扁口90度直脚直插（15个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3209997629901,USB-A,母座,3209997629901
USB-B型母座 USB方口（6个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3209997629902,USB-B,母座,3209997629902
MICRO 5P USB母座5脚（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3209997629894,Micro-USB,母座,3209997629894
MINI USB插座 带壳三件套公头 (5套）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4548052275538,Mini-USB,公头,4548052275538
USB母头USB插座卡盒式三件套A母（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3209997629897,USB-A,母座,3209997629897
带塑壳-三件式长壳公头(5个),https://detail.tmall.com/item.htm?id=41230755573&skuId=3695686281707,USB-A,公头,3695686281707
无边 micro 牛角 平口 5P母座（10个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3463186923375,Micro-USB,母座,3463186923375
编带 迈克牛角 micro usb 5pin 5针（10个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3463186923379,Micro-USB,母座,3463186923379
4个固定脚插板固定母座MK5P（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3463186923378,Micro-USB,母座,3463186923378
黑色胶贴片焊板公头(10个),https://detail.tmall.com/item.htm?id=41230755573&skuId=3695686281705,USB-A,公头,3695686281705
TYPEC公头绿板+白色外壳(2套）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4901406393225,Type-C,公头,4901406393225
TYPEC公头绿板+黑色外壳(2套）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4901406393226,Type-C,公头,4901406393226
双层USB母座90度弯针（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3209997629898,USB-A,母座,3209997629898
90度USB母座5P（6个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3209997629903,Mini-USB,母座,3209997629903
立式 MICRO 5P母座180度直插（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3463186923377,Micro-USB,母座,3463186923377
MICRO插头 迷你USB公头 MICRO 5P 焊线式（5个),https://detail.tmall.com/item.htm?id=41230755573&skuId=3298536756263,Micro-USB,公头,3298536756263
白色胶 A型焊板公头 贴片(10个),https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033404,USB-A,公头,4886723033404
焊线式公头(10个),https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033403,USB-A,公头,4886723033403
带壳三件套 micro公头(5套）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033413,Micro-USB,公头,4886723033413
A母带壳三件套焊线式(5套),https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033414,USB-A,母座,4886723033414
双层全包USB插座A母双层（2个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3299010121902,USB-A,母座,3299010121902
双层USB母座180度直插（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3609029979339,USB-A,母座,3609029979339
焊线直板三件式公头(10个),https://detail.tmall.com/item.htm?id=41230755573&skuId=3695686281711,USB-A,公头,3695686281711
焊线式公头加长款(10个),https://detail.tmall.com/item.htm?id=41230755573&skuId=3695686281708,USB-A,公头,3695686281708
白色胶90度直插焊板公头(10个),https://detail.tmall.com/item.htm?id=41230755573&skuId=3695686281709,USB-A,公头,3695686281709
折叠中长一件式公头(10个),https://detail.tmall.com/item.htm?id=41230755573&skuId=3695686281710,USB-A,公头,3695686281710
AF 侧插 短体 usb A母 侧边 有卷边立式 接口(5个),https://detail.tmall.com/item.htm?id=41230755573&skuId=3746665864740,USB-A,母座,3746665864740
USB公头配弧形白色外壳(5套）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4901406393221,USB-A,公头,4901406393221
USB公头配弧形黑色外壳(5套）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4901406393222,USB-A,公头,4901406393222
USB公头配方形白色外壳(5套）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4901406393223,USB-A,公头,4901406393223
USB公头配方形黑色外壳(5套）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4901406393224,USB-A,公头,4901406393224
type-c插座 TYPE-CF-16P-OT0.8-L6.5（1个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033382,Type-C,母座,4886723033382
type-c插座 TYPE-CF-16P-OT1.6-L6.5（1个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033383,Type-C,母座,4886723033383
type-c插座 TYPE-CF-6P-RAT-L6.8W（2个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033384,Type-C,母座,4886723033384
type-c插座 TYPE-CF-16P-RAT-L7.5W（2个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033385,Type-C,母座,4886723033385
type-c插座 TYPE-C 6P 双压 直插（2个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033386,Type-C,母座,4886723033386
type-c插座 TYPE-C 6P 有孔 直插（2个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033387,Type-C,母座,4886723033387
type-c插座 TYPE-C 6P 直插(2个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033388,Type-C,母座,4886723033388
type-c插座 TYPE-C 16P 沉板1.0（1个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033389,Type-C,母座,4886723033389
type-c插座 TYPE-C 16P 单排有孔 直插（2个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033390,Type-C,母座,4886723033390
type-c插座 TYPE-C 16P 全贴片 单排（1个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033391,Type-C,母座,4886723033391
type-c插座 TYPE-C 16P 贴片（2个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033392,Type-C,母座,4886723033392
type-c插座 TYPE-C 24P 夹板0.8 高9.3（1个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033393,Type-C,母座,4886723033393
type-c插座 TYPE-C 24P 立式贴片 (1个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033394,Type-C,母座,4886723033394
type-c插座 TYPE-C 24P 立式贴片 9.3高（1个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033395,Type-C,母座,4886723033395
type-c插座 TYPE-C 24P 双排双贴有孔（1个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033396,Type-C,母座,4886723033396
type-c插座 TYPE-C 24P前插后贴 双排插针(1个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033397,Type-C,母座,4886723033397
type-c插座 Type-C 母座 6P立体(2个),https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033398,Type-C,母座,4886723033398
type-c插座 Type-C 母座 24P双排沉板0.8（1个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033399,Type-C,母座,4886723033399
type-c插座 TYPE-C 14 母头带板（1个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033400,Type-C,母座,4886723033400
type-c插座 TYPE-C 24P 公头带板（1个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033401,Type-C,母座,4886723033401
type-c插座 TYPE-C侧插母座 侧立式90度 14P（1个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033402,Type-C,母座,4886723033402
MICRO 白色外壳(5套）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4901406393219,Micro-USB,公头,4901406393219
MICRO 黑色外壳(5套）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4901406393220,Micro-USB,公头,4901406393220
USB3.0 AM-贴片沉板（蓝胶）（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033381,USB-3.0,公头,4886723033381
USB3.0 AF-90度插板（蓝胶-有边）（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033405,USB-3.0,母座,4886723033405
USB3.0 AF-180度插板 15L（蓝胶-有边）（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033409,USB-3.0,母座,4886723033409
USB3.0 AF-双层90度插板（蓝胶-有边）（1个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033406,USB-3.0,母座,4886723033406
USB3.0 BF-90度插板（1个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033407,USB-3.0,母座,4886723033407
USB3.0 AF-90度侧插（蓝胶-有边）（1个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033408,USB-3.0,母座,4886723033408
USB3.0 AF-180度 贴片后脚插板（2个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033415,USB-3.0,母座,4886723033415
USB3.0 AF-180度直插 L13(5个),https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033410,USB-3.0,母座,4886723033410
USB3.0 AF-沉板 刺破SMT(5个),https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033411,USB-3.0,母座,4886723033411
USB3.0 AF-短体夹板9Pin(5个),https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033412,USB-3.0,母座,4886723033412
USB3.0 AM-短体夹板180度(5个),https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033416,USB-3.0,公头,4886723033416
USB3.0 AM-短体弯脚夹板180（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=5159406439133,USB-3.0,公头,5159406439133
MINI USB母座 贴片 长体（10个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=5059303379015,Mini-USB,母座,5059303379015
MINI USB母座 贴片 长体 全铜（10个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=5059303379024,Mini-USB,母座,5059303379024
MINI USB母座 贴片 短体 （5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=5059303379016,Mini-USB,母座,5059303379016
MINI USB母座 4脚插板 90度 （10个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=5059303379017,Mini-USB,母座,5059303379017
MINI USB母座 2脚插板 90度 （10个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=5059303379018,Mini-USB,母座,5059303379018
MINI USB母座 4脚插板 贴片脚（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=5059303379019,Mini-USB,母座,5059303379019
MINI USB母座 沉板式 5PF（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=5059303379020,Mini-USB,母座,5059303379020
MINI USB母座 立式 180度弯脚（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=5059303379021,Mini-USB,母座,5059303379021
MINI USB母座 立式 180度直脚（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=5059303379022,Mini-USB,母座,5059303379022
MINI USB母座 前插后贴 10PF（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=5059303379023,Mini-USB,母座,5059303379023
Mini5p贴片铁壳不带T型（10个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=5059303379025,Mini-USB,母座,5059303379025
MINI USB 8P公座迷你手机 充电相机数据头（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=5059303379013,Mini-USB,公头,5059303379013
MINI 迷你 HDMI 高清接口母座19P贴片（2个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4882017424966,HDMI,母座,4882017424966
1394 USB母座 6P卷边 90度插板(1个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033380,1394,母座,4886723033380
AF 侧插 短体 usb A母 侧边 无卷边立式 接口(5个),https://detail.tmall.com/item.htm?id=41230755573&skuId=5059303379014,USB-A,母座,5059303379014
HDMI接口 贴片 镀镍 编带 高清接口母座（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4882017424965,HDMI,母座,4882017424965
HDMI 贴片镀金 高清母子座 19P贴片（1个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4882017424967,HDMI,母座,4882017424967
HDMI插座 19P三排插针 HDMI母座（2个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4882017424968,HDMI,母座,4882017424968
夹板公头 HDMI高清连接器 公头夹板式（2个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4882017424969,HDMI,公头,4882017424969
带壳三件套micro公头(5个),https://detail.tmall.com/item.htm?id=41230755573&skuId=4896693240230,Micro-USB,公头,4896693240230
MICRO公头-后2脚(10个),https://detail.tmall.com/item.htm?id=41230755573&skuId=4896693240231,Micro-USB,公头,4896693240231
四脚无柱micro母座(5个),https://detail.tmall.com/item.htm?id=41230755573&skuId=4896693240232,Micro-USB,母座,4896693240232
180度直插micro母座(5个),https://detail.tmall.com/item.htm?id=41230755573&skuId=4896693240233,Micro-USB,母座,4896693240233
贴片无柱micro母座(5个),https://detail.tmall.com/item.htm?id=41230755573&skuId=4896693240234,Micro-USB,母座,4896693240234
贴片带定位柱micro母座(5个),https://detail.tmall.com/item.htm?id=41230755573&skuId=4896693240235,Micro-USB,母座,4896693240235
MICRO公头-后4脚(10个),https://detail.tmall.com/item.htm?id=41230755573&skuId=4896693240236,Micro-USB,公头,4896693240236
四脚加长带定位柱micro母座(5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4896693240237,Micro-USB,母座,4896693240237
四脚带定位柱micro母座(5个),https://detail.tmall.com/item.htm?id=41230755573&skuId=4896693240238,Micro-USB,母座,4896693240238
Micro USB母座 2脚插板7.2无边 平口（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4896693240239,Micro-USB,母座,4896693240239
Micro USB母座 3.0贴片（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4896693240240,Micro-USB,母座,4896693240240
Micro USB母座 3.0直插（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4896693240241,Micro-USB,母座,4896693240241
Micro USB母座 沉板式 无边 平口（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4896693240242,Micro-USB,母座,4896693240242
Micro USB母座 卷边 带定位柱直插（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4896693240243,Micro-USB,母座,4896693240243
Micro USB母座 立式 无边平口(5个),https://detail.tmall.com/item.htm?id=41230755573&skuId=4896693240249,Micro-USB,母座,4896693240249
Micro USB母座 牛角 卷边 (5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4896693240244,Micro-USB,母座,4896693240244
Micro USB母座 前插后贴 卷边（10个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4896693240245,Micro-USB,母座,4896693240245
Micro USB母座 无边 带定位柱 贴片（平口）（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4896693240246,Micro-USB,母座,4896693240246
Micro USB母座 无边 带定位柱 直插 平口 （5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4896693240247,Micro-USB,母座,4896693240247
Micro USB母座 无边 带定位柱 直插（平口） 5.9（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4896693240248,Micro-USB,母座,4896693240248
Micro USB母座 焊线式 带壳二件套（5套）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4896693240250,Micro-USB,母座,4896693240250
micro-USB 5P沉板0.72卷边 （10个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4896693240252,Micro-USB,母座,4896693240252
MICRO迈克5P平口沉板0.8平口无卷边 （10个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4896693240251,Micro-USB,母座,4896693240251
